#  Name_Source	   Gal_Lon (0 < l < 360)	Gal_Lat (-90 < b < 90)	ErrPos (Deg)	Flux (1-100GeV) ph cm-2 MeV-1 s-1	PLaw-Nrom (ph cm-2 MeV-1 s-1)	PLaw-spectral_index
4FGL_J0009.8+1340	107.7521896		-47.9713554		0.0068		1.1838812e-10		1.9970882e-14		2.1652951e+00
4FGL_J0010.2-2431	46.3295746		-80.3743134		0.0068		1.0336608e-10		1.6984891e-14		2.0859656e+00
4FGL_J0010.6+2043	110.2187424		-41.1282692		0.0068		1.7261258e-10		1.0691845e-13		2.3178699e+00
4FGL_J0010.6-3025	10.2637081		-80.4823151		0.0068		3.4923767e-10		1.0815205e-12		2.4560356e+00
4FGL_J0010.8-2154	60.2811813		-79.4005051		0.0068		1.1858327e-10		1.0259906e-13		2.3778617e+00
4FGL_J0011.4-4110	330.7520752		-73.7204056		0.0068		8.8139128e-11		2.9612678e-13		2.5804715e+00
4FGL_J0011.4+0057	102.4072342		-60.3026924		0.0068		4.2882067e-10		3.8819360e-13		2.3342156e+00
4FGL_J0011.8-3142	 2.5585456		-80.2352600		0.0068		1.2288351e-10		1.1206882e-14		1.9735353e+00
4FGL_J0012.0+7043	119.6611023		 8.1116371		0.0068		3.7565356e-10		1.2321958e-13		2.4091682e+00
4FGL_J0013.1-3955	332.3398743		-74.9361649		0.0068		4.1848375e-10		8.9358994e-14		2.0022683e+00
4FGL_J0013.4+0950	107.6418381		-51.9024429		0.0068		1.6828142e-10		1.5692022e-14		2.1515617e+00
4FGL_J0013.6+4051	115.2577972		-21.4510326		0.0068		1.6368609e-10		3.2920295e-14		2.1912282e+00
4FGL_J0013.6-0424	99.6602020		-65.5531769		0.0068		1.6473552e-10		4.3588664e-14		2.3075821e+00
4FGL_J0013.9-1854	74.5878067		-78.0919189		0.0068		2.9763778e-10		4.8155961e-14		1.9975508e+00
4FGL_J0014.1+1910	110.8899384		-42.8268242		0.0068		2.2511593e-10		1.2298944e-13		2.2762160e+00
4FGL_J0014.1-5022	317.4529419		-65.6948090		0.0068		2.5777988e-10		3.6815284e-14		2.0150008e+00
4FGL_J0014.2+0854	107.6185532		-52.8519516		0.0068		1.6505607e-10		1.4768875e-13		2.4726174e+00
4FGL_J0014.3-0500	99.5094757		-66.1823883		0.0068		4.0080070e-10		1.4659140e-13		2.3695645e+00
4FGL_J0014.7+5801	118.0747452		-4.4981065		0.0068		2.2216122e-10		3.4357816e-15		1.7209659e+00
4FGL_J0014.8+6118	118.5572968		-1.2571890		0.0068		7.9068641e-10		5.0797010e-14		2.0499325e+00
4FGL_J0014.9+3212	114.0097275		-30.0218773		0.0068		3.5089673e-10		2.4539045e-12		2.6099987e+00
4FGL_J0015.2+3537	114.7182312		-26.6775074		0.0068		1.0261945e-10		3.6217329e-15		1.9268880e+00
4FGL_J0015.6+5551	117.8880997		-6.6570644		0.0068		3.6396650e-10		1.2407478e-14		1.8762323e+00
4FGL_J0015.9+2440	112.7639694		-37.4899216		0.0068		2.4848282e-10		8.7491687e-14		2.2468426e+00
4FGL_J0016.2-0016	104.0122757		-61.8526917		0.0068		4.1683504e-10		1.1965016e-11		2.7406797e+00
4FGL_J0016.5+1702	111.0967941		-45.0298157		0.0068		1.5104273e-10		1.1829735e-12		2.6018126e+00
4FGL_J0017.0-0649	99.4617081		-68.1226196		0.0068		3.8783798e-10		2.9248492e-13		2.2981074e+00
4FGL_J0017.1-4605	320.3886414		-69.8652115		0.0068		9.9517540e-11		1.3315864e-12		2.7844908e+00
4FGL_J0017.5-0514	101.2098541		-66.6678162		0.0068		7.5819950e-10		1.9125220e-12		2.5630000e+00
4FGL_J0017.8+1455	110.9652634		-47.1678314		0.0068		2.3595012e-10		1.0417376e-13		2.1929741e+00
4FGL_J0018.4+2946	114.4411697		-32.5482712		0.0068		2.6334160e-10		1.0003431e-14		1.6984659e+00
4FGL_J0019.2-5640	311.7508240		-59.8909874		0.0068		2.9021449e-10		1.5468360e-13		2.2048230e+00
4FGL_J0019.3-8152	304.3143616		-35.1620903		0.0068		6.1294475e-10		1.6703339e-13		2.1124363e+00
4FGL_J0019.6+7327	120.6328201		10.7264795		0.0068		1.1090502e-09		1.8516894e-12		2.6243196e+00
4FGL_J0019.6+2022	112.9008179		-41.8758354		0.0068		3.1732184e-10		1.1900154e-13		2.1648295e+00
4FGL_J0020.3+6919	120.1792679		 6.6266775		0.0068		2.5407754e-10		1.9605219e-13		2.5546942e+00
4FGL_J0021.0+0322	108.2370453		-58.6230736		0.0068		1.5053572e-10		8.7194673e-15		1.8674644e+00
4FGL_J0021.5-2552	41.9261017		-83.1996765		0.0068		6.5438860e-10		4.2186813e-13		2.1214414e+00
4FGL_J0021.6-0855	100.4025269		-70.4748306		0.0068		1.6307894e-10		1.0602514e-13		2.2711666e+00
4FGL_J0021.9-5140	313.7011414		-64.8353958		0.0068		5.9852034e-10		2.3021803e-13		2.0653079e+00
4FGL_J0022.0+0006	107.2070389		-61.8581696		0.0068		1.0412742e-10		1.0386217e-15		1.5330765e+00
4FGL_J0022.0-5921	309.8696289		-57.3811340		0.0068		2.3471805e-10		1.6473484e-13		2.4455292e+00
4FGL_J0022.1-1854	82.0826569		-79.3743515		0.0068		8.5712959e-10		3.4642593e-13		1.9422411e+00
4FGL_J0022.5+0608	110.0121155		-56.0111084		0.0068		2.0823780e-09		3.2576266e-12		2.1489704e+00
4FGL_J0023.4+0920	111.4201889		-52.8965378		0.0068		1.2196342e-09		1.2896352e-12		2.2666276e+00
4FGL_J0023.6-4209	321.8499146		-73.9334717		0.0068		1.1095319e-10		1.3279306e-14		2.0517011e+00
4FGL_J0023.7-6820	306.7893066		-48.5821686		0.0068		2.3470223e-10		5.0454814e-12		2.8068578e+00
4FGL_J0023.7+4457	117.8044662		-17.6453228		0.0068		5.4700333e-10		1.1873162e-12		2.4364550e+00
4FGL_J0023.9+1603	113.3449707		-46.2951241		0.0068		2.5732702e-10		5.4103223e-14		2.0652134e+00
4FGL_J0024.0-7204	305.9019470		-44.8910751		0.0068		4.4598427e-09		4.4575333e-12		2.0958216e+00
4FGL_J0024.1+2402	114.9746552		-38.4132195		0.0068		2.1030512e-10		4.2616718e-14		2.1399548e+00
4FGL_J0024.4+4647	118.1427612		-15.8239613		0.0068		1.2209325e-10		1.7572360e-13		2.5406590e+00
4FGL_J0024.7+0349	110.1776047		-58.3782120		0.0068		1.6295676e-10		1.1435568e-13		2.3913183e+00
4FGL_J0025.2-2231	69.1958466		-82.4845047		0.0068		1.0891871e-10		1.8258467e-13		2.5031378e+00
4FGL_J0025.3+6408	120.0936050		 1.4218481		0.0068		8.6063578e-10		8.1427879e-14		2.1818187e+00
4FGL_J0025.4-4838	314.3905640		-67.9078217		0.0068		1.8247995e-10		4.0272043e-14		2.1414979e+00
4FGL_J0025.5-5936	308.9877625		-57.2178383		0.0068		1.3584323e-10		8.0676094e-14		2.4660225e+00
4FGL_J0025.7-4801	314.7238159		-68.5165176		0.0068		3.0035974e-10		1.4751096e-13		2.2307553e+00
4FGL_J0026.1-0732	104.7616043		-69.5175934		0.0068		1.5005339e-10		1.1615349e-14		1.9447428e+00
